	case	comparison	SNF: FDA & CGC
204840	PROS12319B-SU2C-06115121	ACH-000244	0.9979932422543141
205006	PROS12319B-SU2C-06115121	ACH-000603	0.9979934887305928
204927	PROS12319B-SU2C-06115121	ACH-000438	0.9979935294613229
204939	PROS12319B-SU2C-06115121	ACH-000465	0.9979935641158565
205067	PROS12319B-SU2C-06115121	ACH-000719	0.9979936334199804
205155	PROS12319B-SU2C-06115121	ACH-000893	0.9979936666909128
205021	PROS12319B-SU2C-06115121	ACH-000628	0.9979937451045654
205199	PROS12319B-SU2C-06115121	ACH-001089	0.9979938331940943
204849	PROS12319B-SU2C-06115121	ACH-000264	0.9979939460888377
204802	PROS12319B-SU2C-06115121	ACH-000147	0.997993972969445
205012	PROS12319B-SU2C-06115121	ACH-000615	0.9979942285195966
